City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Ushuaia,AR,-54.8,-68.3,53.6,66,75,5.75,1613084207
Saint-Philippe,RE,-21.3585,55.7679,78.8,61,99,4.61,1613084449
Barrow,US,71.2906,-156.7887,-43.6,83,1,9.22,1613084247
Mataura,NZ,-46.1927,168.8643,61.59,49,1,2.19,1613084389
Punta Arenas,CL,-53.15,-70.9167,55.4,47,0,31.07,1613084545
Kruisfontein,ZA,-34.0033,24.7314,75.0,87,100,5.99,1613084771
East London,ZA,-33.0153,27.9116,75.07,85,9,16.58,1613084398
Lata,PT,40.1629,-8.3327,57.99,92,98,1.99,1613084526
Thurso,GB,58.5927,-3.5259,35.6,60,36,13.8,1613084772
Kapaa,US,22.0752,-159.319,75.99,60,1,9.22,1613084395
Port Alfred,ZA,-33.5906,26.891,70.0,95,77,1.01,1613084389
Jamestown,US,42.097,-79.2353,19.4,68,1,9.22,1613084393
Mar del Plata,AR,-38.0023,-57.5575,71.01,94,75,19.57,1613084130
Vila Velha,BR,-20.3297,-40.2925,84.0,83,75,6.91,1613084473
Hofn,IS,64.2539,-15.2082,40.21,70,100,17.31,1613084451
Turukhansk,RU,65.8167,87.9833,-24.81,82,8,4.56,1613084395
Saint Simons,US,31.1352,-81.3901,69.01,100,90,8.05,1613084773
Mahébourg,MU,-20.4081,57.7,78.8,78,75,8.05,1613084451
Killybegs,IE,54.6333,-8.45,32.0,91,100,14.0,1613084773
El Copé,PA,8.6167,-80.6,86.0,58,20,9.22,1613084773
Pudozh,RU,61.8099,36.5345,-12.59,89,10,2.59,1613084773
Måløy,NO,61.9353,5.1136,21.2,58,0,5.75,1613084773
Busselton,AU,-33.65,115.3333,50.0,97,0,9.35,1613084393
Carnarvon,AU,-24.8667,113.6333,71.6,88,96,14.97,1613084252
Khatanga,RU,71.9667,102.5,-24.56,87,92,4.29,1613084453
Adrar,MR,20.5022,-10.0711,68.97,18,16,9.17,1613084502
Cape Town,ZA,-33.9258,18.4232,72.0,94,0,12.66,1613084224
Coquimbo,CL,-29.9533,-71.3436,69.8,64,20,12.66,1613084296
Safford,US,32.834,-109.7076,69.8,14,1,4.61,1613084774
Bowen,AU,-20.0167,148.2333,78.8,78,24,6.91,1613084484
Rikitea,PF,-23.1203,-134.9692,79.18,70,76,7.47,1613084387
Zhovkva,UA,50.0583,23.9726,10.4,92,75,13.42,1613084775
Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,75,6.91,1613084389
Pangnirtung,CA,66.1451,-65.7125,-5.8,84,75,12.66,1613084470
Nuuk,GL,64.1835,-51.7216,21.2,79,90,16.11,1613084570
Sabha,LY,27.0377,14.4283,60.55,29,0,8.72,1613084513
Kaeo,NZ,-35.1,173.7833,73.99,53,0,5.99,1613084775
New Norfolk,AU,-42.7826,147.0587,68.0,63,13,8.01,1613084441
Albany,US,42.6001,-73.9662,24.8,46,75,14.97,1613084284
Pisco,PE,-13.7,-76.2167,78.8,69,0,5.75,1613084505
Hermanus,ZA,-34.4187,19.2345,73.0,88,32,1.01,1613084776
Nānākuli,US,21.3906,-158.1547,78.8,47,1,9.22,1613084525
Dunedin,NZ,-45.8742,170.5036,59.0,61,0,8.99,1613084518
Shediac,CA,46.2198,-64.5411,15.8,53,20,19.57,1613084776
Longyearbyen,SJ,78.2186,15.6401,-0.4,78,20,12.66,1613084480
Dikson,RU,73.5069,80.5464,-15.02,89,100,3.85,1613084777
Yerbogachën,RU,61.2767,108.0108,-21.39,85,0,3.06,1613084568
Kerva,RU,55.6117,39.5766,5.49,95,98,4.36,1613084777
Cabedelo,BR,-6.9811,-34.8339,80.6,74,0,12.66,1613084420
Maiduguri,NG,11.8464,13.1603,68.32,23,0,6.8,1613084777
Kaitangata,NZ,-46.2817,169.8464,60.01,58,5,8.01,1613084433
Atuona,PF,-9.8,-139.0333,79.29,74,3,11.41,1613084398
Fortuna,US,40.5982,-124.1573,52.0,100,75,16.11,1613084429
Bonavista,CA,48.6499,-53.1147,24.01,86,100,12.66,1613084778
Sabang,ID,5.8933,95.3214,81.41,72,19,3.33,1613084778
Arraial do Cabo,BR,-22.9661,-42.0278,75.2,94,75,8.05,1613084394
Blackwater,AU,-23.5833,148.8833,76.73,62,60,10.49,1613084778
Jatai,BR,-17.8814,-51.7144,71.08,86,100,1.81,1613084545
Tromsø,NO,69.6496,18.957,30.2,80,75,23.02,1613084496
Natal,BR,-5.795,-35.2094,82.4,74,40,18.41,1613084529
La Ronge,CA,55.1001,-105.2842,-18.4,57,100,9.22,1613084391
Mehamn,NO,71.0357,27.8492,24.06,93,84,12.35,1613084779
Ubinskoye,RU,55.3068,79.6802,-29.09,84,0,5.7,1613084779
Inuvik,CA,68.3499,-133.7218,-0.4,78,36,2.3,1613084493
Klyuchi,RU,52.2667,79.1667,-19.86,87,56,5.21,1613084574
Masty,BY,53.4122,24.5387,7.03,93,100,13.29,1613084592
Codrington,AU,-38.2667,141.9667,62.69,65,97,11.52,1613084441
